Iteration,G_loss,D_loss
1,[4.1085095, 0.0],0
1000,[1.0793334, 0.640625],0
2000,[0.7566907, 0.859375],0
3000,[0.5912781, 0.890625],0
4000,[0.5226372, 0.90625],0
5000,[0.47843197, 0.921875],0
6000,[0.40999907, 0.9375],0
7000,[0.41435164, 0.90625],0
8000,[0.36390463, 0.921875],0
9000,[0.34590346, 0.9375],0
10000,[0.2572342, 0.984375],0
11000,[0.28687194, 0.96875],0
12000,[0.27411637, 0.984375],0
13000,[0.29562232, 0.9375],0
14000,[0.29861084, 0.9375],0
15000,[0.30560234, 0.9375],0
16000,[0.25279036, 0.984375],0
17000,[0.2863175, 0.9375],0
18000,[0.25634205, 0.96875],0
19000,[0.25609654, 0.96875],0
20000,[0.26690593, 0.953125],0
21000,[0.2551263, 0.953125],0
22000,[0.22495353, 0.984375],0
23000,[0.2941448, 0.921875],0
24000,[0.24624473, 0.984375],0
25000,[0.26646894, 0.953125],0
26000,[0.23005413, 0.96875],0
27000,[0.22620617, 0.984375],0
28000,[0.24689412, 0.953125],0
29000,[0.21493389, 0.984375],0
30000,[0.23370485, 0.96875],0
31000,[0.25219974, 0.9375],0
32000,[0.23489219, 0.953125],0
33000,[0.20979825, 0.984375],0
34000,[0.20887451, 0.984375],0
35000,[0.21290807, 0.984375],0
36000,[0.2484969, 0.953125],0
37000,[0.22407916, 0.96875],0
38000,[0.21282426, 0.984375],0
39000,[0.2584806, 0.953125],0
40000,[0.2518673, 0.9375],0
41000,[0.22852871, 0.96875],0
42000,[0.19340442, 0.984375],0
43000,[0.2413453, 0.9375],0
44000,[0.24703994, 0.96875],0
45000,[0.21806161, 0.96875],0
46000,[0.2401126, 0.953125],0
47000,[0.19671205, 0.984375],0
48000,[0.22634262, 0.96875],0
49000,[0.20021126, 0.96875],0
50000,[0.2649917, 0.921875],0
51000,[0.24240373, 0.9375],0
52000,[0.21812429, 0.96875],0
53000,[0.2545074, 0.9375],0
54000,[0.19719903, 0.96875],0
55000,[0.18446715, 0.984375],0
56000,[0.20305683, 0.96875],0
57000,[0.21269988, 0.96875],0
58000,[0.1900058, 0.984375],0
59000,[0.24082118, 0.953125],0
60000,[0.22075692, 0.953125],0
61000,[0.21840858, 0.96875],0
62000,[0.2264563, 0.953125],0
63000,[0.22148515, 0.953125],0
64000,[0.21727489, 0.953125],0
